person_id,full_name,D_RAPM,O_RAPM,RAPM,mp,season_name
397,Reggie Miller,0.0980528921990149,0.175915653903098,0.273968546102112,2691.8549999444,NBA_1998
406,Shaquille ONeal,0.0447628886949613,0.18376547161414,0.228528360309101,2121.4616666219,NBA_1998
349,Mark Jackson,0.083007526566245,0.136377536230013,0.219385062796258,2314.5633332904,NBA_1998
304,John Stockton,0.00687867614050044,0.207663167881478,0.214541844021978,1783.5049999657,NBA_1998
252,Karl Malone,-0.0455849640398725,0.2524205339679,0.206835569928028,2926.8733332719,NBA_1998
904,Chris Mullin,0.081964285546741,0.117430677591055,0.199394963137796,2094.2666666313,NBA_1998
905,Dale Davis,0.0621957989649122,0.127649398529075,0.189845197493988,2097.733333295,NBA_1998
109,Robert Horry,0.0415578561234007,0.141609836064385,0.183167692187786,2139.7649999563,NBA_1998
56,Gary Payton,-0.00610246228858822,0.186591562165709,0.180489099877121,3028.9666666019,NBA_1998
193,Anthony Mason,0.0774940312754675,0.102692950088093,0.18018698136356,3076.0733332718,NBA_1998
124,Vlade Divac,0.0873143361636201,0.0916985979951756,0.179012934158796,1740.24666663,NBA_1998
22,Rik Smits,0.0905955079762091,0.0880305619382204,0.178626069914429,1986.6416666298,NBA_1998
297,Alonzo Mourning,0.0825713556079364,0.0943760928718655,0.176947448479802,1866.5333332945,NBA_1998
96,Detlef Schrempf,-0.0319088719649704,0.207361116472539,0.175452244507568,2638.2999999464,NBA_1998
895,Tyrone Corbin,0.104372663396046,0.0610556885193955,0.165428351915442,2619.2433332853,NBA_1998
764,David Robinson,0.173737302451177,-0.0100123545410949,0.163724947910083,2153.913333292,NBA_1998
779,Glen Rice,0.0479476418849233,0.11371365345363,0.161661295338554,3218.3416666013,NBA_1998
224,Eddie Jones,-0.00334864989015059,0.155784877917224,0.152436228027073,2833.7599999389,NBA_1998
133,David Wesley,0.0627976839741847,0.0888899644310924,0.151687648405277,2774.9816666128,NBA_1998
204,Jeff Hornacek,-0.068257678953052,0.214279301450981,0.146021622497929,2390.1833332866,NBA_1998
302,Mookie Blaylock,0.0754075289512173,0.0687254765360066,0.144133005487224,2631.848333284,NBA_1998
296,Rick Fox,0.023186661076101,0.112873429645509,0.13606009072161,2624.041666612,NBA_1998
89,Nick Van Exel,0.0237076715550788,0.103954924658051,0.12766259621313,1989.6499999551,NBA_1998
765,Hersey Hawkins,-0.0347436839644897,0.162108353512178,0.127364669547688,2467.3783332841,NBA_1998
1114,Jaren Jackson,0.139633384978964,-0.0127695629973083,0.126863821981656,1794.1883332953,NBA_1998
184,Bobby Phills,0.00678726864305331,0.115719920072848,0.122507188715901,1849.1633332985,NBA_1998
87,Dikembe Mutombo,0.0850125937033835,0.0318104632823425,0.116823056985726,2820.2983332842,NBA_1998
64,Sam Perkins,0.0169678048488292,0.0990308900740086,0.115998694922838,1627.0533332879,NBA_1998
166,Ron Harper,0.0824839391472357,0.0300955899966534,0.112579529143889,2220.1149999612,NBA_1998
369,Charlie Ward,0.115736364859855,-0.00582100987592118,0.109915354983934,2199.6749999603,NBA_1998
467,Jason Kidd,0.0480574532022125,0.0578766345633334,0.105934087765546,2626.7899999444,NBA_1998
1495,Tim Duncan,0.140182636613306,-0.0351599216635352,0.105022714949771,2644.8199999496,NBA_1998
420,Jayson Williams,0.011040670523326,0.0892629106338646,0.100303581157191,2264.601666615,NBA_1998
228,Adam Keefe,-0.0505300840490051,0.147503775891862,0.0969736918428567,1978.5816666301,NBA_1998
445,Wesley Person,0.163521685225337,-0.0670867146039899,0.0964349706213468,3072.6766665968,NBA_1998
959,Steve Nash,0.0571078921779085,0.0389584313514894,0.0960663235293979,1224.4843333013,NBA_1998
717,Arvydas Sabonis,0.0658480246079147,0.0302039927968654,0.0960520174047801,2266.6083332897,NBA_1998
73,Hot Rod Williams,0.0710361712926939,0.0221137003005065,0.0931498715932004,1146.2543333097,NBA_1998
255,Grant Hill,0.0345059230271439,0.0579851920540347,0.0924911150811786,3134.2799999328,NBA_1998
893,Michael Jordan,0.0577341984139444,0.0338249357570907,0.0915591341710351,3080.384999938,NBA_1998
935,Bryon Russell,0.0061704602677243,0.0799073084019117,0.086077768669636,2042.7166666145,NBA_1998
393,Rod Strickland,0.032245445867713,0.0525635926512528,0.0848090385189658,2950.0649999347,NBA_1998
431,Shawn Kemp,0.151484318495461,-0.0673186212662659,0.0841656972291953,2658.8666666094,NBA_1998
1510,Brevin Knight,0.116402179012809,-0.0327238145812195,0.083678364431589,2376.8983332814,NBA_1998
422,Avery Johnson,0.115940012639154,-0.032705555102765,0.083234457536389,2598.0249999487,NBA_1998
896,Tim Hardaway,0.00158425058869881,0.0766030187914769,0.0781872693801757,2933.9049999372,NBA_1998
389,Toni Kukoc,0.0859801744137685,-0.00904305004601819,0.0769371243677503,2116.321666623,NBA_1998
1112,Ben Wallace,0.0564784673424643,0.0204584408262193,0.0769369081686836,1036.131666638,NBA_1998
452,Vin Baker,-0.0723979698013476,0.148580803565318,0.0761828337639702,2828.6116666082,NBA_1998
739,Rasheed Wallace,0.0700069369530955,0.00443277368609394,0.0744397106391894,2766.6933332768,NBA_1998
361,Clifford Robinson,-0.0120443464736885,0.0856795632633931,0.0736352167897046,2005.1073332922,NBA_1998
120,Steven Smith,-1.21755890023123e-06,0.0691325386982531,0.0691313211393529,2768.1866666134,NBA_1998
1032,Darvin Ham,0.0448727291003204,0.0205598414160229,0.0654325705163433,530.7633333155,NBA_1998
23,Dennis Rodman,0.036550446400805,0.0287879099042941,0.0653383563050991,2745.4849999487,NBA_1998
128,David Benoit,0.042001176732681,0.0200609725151258,0.0620621492478068,1018.9366666388,NBA_1998
977,Kobe Bryant,-0.0682850495718376,0.129606967195068,0.0613219176232309,1935.7683332784,NBA_1998
966,Jerome Williams,0.0295855925478696,0.0310779297631514,0.0606635223110209,1128.1399999678,NBA_1998
134,Kevin Johnson,0.003480789243117,0.0567241679489272,0.0602049571920442,1213.9063333033,NBA_1998
980,Zydrunas Ilgauskas,0.103155080120264,-0.0434609398510605,0.0596941402692032,2303.398333288,NBA_1998
95,Mark Bryant,0.00794245760271391,0.0509804164274538,0.0589228740301677,912.3169999819,NBA_1998
136,P.J. Brown,0.0337356213195942,0.0236683938465757,0.0574040151661699,2298.4566666217,NBA_1998
702,Voshon Lenard,0.0130892134894754,0.0438521596109493,0.0569413731004246,2504.0866666162,NBA_1998
907,Malik Sealy,0.0708287879550833,-0.0156404936948076,0.0551882942602757,1472.351666625,NBA_1998
107,Dale Ellis,-0.0433050193689978,0.0984279308230651,0.0551229114540673,1827.7383332813,NBA_1998
363,Christian Laettner,0.00415171576202577,0.0496739149270503,0.0538256306890761,2198.6683332893,NBA_1998
105,Dan Majerle,0.0170150610969774,0.0352645075195806,0.052279568616558,1835.0399999535,NBA_1998
208,Sam Cassell,-0.0748582736432527,0.125444982289578,0.0505867086463254,2511.7666666091,NBA_1998
1496,Keith Van Horn,-0.0759935441221599,0.122322262886839,0.0463287187646789,2242.494999947,NBA_1998
937,Scottie Pippen,-0.0235608329048639,0.068710289711663,0.0451494568067991,1607.0833333043,NBA_1998
785,Eric Murdock,0.0498874458602764,-0.00480396934771205,0.0450834765125644,1241.5516666305,NBA_1998
954,Kerry Kittles,-0.0612399253459867,0.105666416396926,0.044426491050939,2686.0466666025,NBA_1998
238,Tyrone Hill,0.046151276465808,-0.00172697596970996,0.044424300496098,2020.1399999584,NBA_1998
1519,John Thomas,0.0349293467544665,0.00852842980156543,0.043457776556032,485.1233333185,NBA_1998
258,Brian Grant,0.0154397133060288,0.0261721014598415,0.0416118147658704,1852.8033332943,NBA_1998
1532,Jerald Honeycutt,0.0194747076604736,0.0215037401226696,0.0409784477831432,465.356666654,NBA_1998
428,Sherman Douglas,0.0200064442993024,0.0207522740696393,0.0407587183689417,1572.6933332864,NBA_1998
686,Antonio McDyess,0.0129186093319836,0.0277355872991542,0.0406541966311378,2012.9983332946,NBA_1998
137,Vernon Maxwell,0.0309932142748794,0.00958679822338053,0.0405800124982599,569.9699999837,NBA_1998
213,Antonio Davis,0.0319906361101395,0.00705667150370702,0.0390473076138465,2078.6549999481,NBA_1998
400,Derek Strong,0.0358670629783854,0.00106106976603891,0.0369281327444243,1582.1266666275,NBA_1998
275,Allan Houston,0.090063170538621,-0.0532043288325189,0.0368588417061021,2662.5599999486,NBA_1998
187,Terry Cummings,-0.00205385560771661,0.0373080598157929,0.0352542042080763,1137.3449999692,NBA_1998
1518,Rodrick Rhodes,0.0349769469832148,0.000112772070101522,0.0350897190533164,963.5896666457,NBA_1998
168,Chris Mills,0.0937372385305617,-0.0589386462153642,0.0347985923151975,1960.8516666214,NBA_1998
781,Will Perdue,0.0290485568083485,0.00533825113526842,0.034386807943617,1127.11833331,NBA_1998
26,Luc Longley,0.046283946991634,-0.0119669312239475,0.0343170157676864,1667.1866666364,NBA_1998
965,Derek Fisher,-0.0346726448100399,0.0687190617553151,0.0340464169452751,1650.3983332932,NBA_1998
173,Keith Askins,0.0358770110829599,-0.00196576075149739,0.0339112503314625,631.6399999826,NBA_1998
