season,season_name,team_id,team_abbr,team_city,team_name,person_id,first_name,last_name,full_name,possession,oapm,oapm_error,dapm,dapm_error,apm,apm_error,ospm,dspm,spm
2015-16,NBA_2016,1610612743,DEN,Denver,Nuggets,2749,Jameer,Nelson,Jameer Nelson,4443,-1.7159176114864,0.832244894114364,-0.463573862304031,0.826379073534513,-2.17949147379043,1.17371081501169,,,
2008-09,NBA_2009,1610612752,NYK,New York,Knicks,2768,Chris,Duhon,Chris Duhon,11816,1.067328469,1.077453818,-0.790640216,1.077364858,0.276688253,1.542510563,0.806333302,-1.302728784,-0.496395482
2004-05,NBA_2005,1610612754,IND,Indiana,Pacers,2823,John,Edwards,John Edwards,496,-2.147092586,0.195895734,1.049358919,0.197868787,-1.097733668,0.278437481,-2.129897658,1.070556324,-1.059341334
2007-08,NBA_2008,1610612748,MIA,Miami,Heat,2867,Kasib,Powell,Kasib Powell,1079,-1.307620388,0.605866209,-0.172782496,0.59309604,-1.480402884,0.847886479,-1.271663223,-0.259844159,-1.531507382
1999-00,NBA_2000,1610612744,GSW,Golden State,Warriors,317,John,Starks,John Starks,3871,0.0313897867614088,0.922922941267331,-1.14080399600852,0.924335857198992,-1.10941420924711,1.30763456380958,-1.043714693766,-0.978735030730258,-2.02244972449626
1997-98,NBA_1998,1610612765,DET,Detroit,Pistons,328,Rick,Mahorn,Rick Mahorn,2451,-1.35803765891351,0.457728882628464,0.330565287250968,0.454958443825267,-1.02747237166254,0.645434905696352,-1.38785348165197,0.321904987835612,-1.06594849381636
2004-05,NBA_2005,1610612744,GSW,Golden State,Warriors,361,Clifford,Robinson,Clifford Robinson,6549,-1.450980416,0.930533296,-1.272811373,0.930106712,-2.723791789,1.317941238,-1.032216259,0.16496877,-0.867247489
2000-01,NBA_2001,1610612756,PHX,Phoenix,Suns,361,Clifford,Robinson,Clifford Robinson,10621,-1.59954348108093,1.09595613359547,2.01597219296491,1.09683146478146,0.416428711883981,1.56263036510774,0.450288992171492,0.762410099126396,1.21269909129789
2000-01,NBA_2001,1610612753,ORL,Orlando,Magic,386,Elliot,Perry,Elliot Perry,1994,0.117150889739467,0.405315693893207,-0.273500436832876,0.406690342482659,-0.15634954709341,0.574253236567676,0.0752041004731985,-0.262056599245028,-0.186852498771829
1998-99,NBA_1999,1610612749,MIL,Milwaukee,Bucks,386,Elliot,Perry,Elliot Perry,973,-1.31953452653504,0.611369926379661,-0.257144128468856,0.611153721940626,-1.5766786550039,0.864495772837534,-1.05638219671569,-0.145485044147947,-1.20186724086364
1997-98,NBA_1998,1610612751,NJN,New Jersey,Nets,420,Jayson,Williams,Jayson Williams,8768,-1.38704506147461,1.05390224255039,2.04068547701824,1.05655810170759,0.65364041554363,1.50461665973294,-1.18894482880961,0.329984586079685,-0.858960242729925
